x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
0.53313061,0.749189625,0.40565459,0.400120773,0.343884995,,,,,,0.954969886,0.719241978,0.714242949,,,0.28654245,0.033164058,0.922946439,,0.267285646,,0.259032379,,0.865162475,0.44907314,0.687570897
0.606661847,0.117854515,0.306358689,0.215630992,0.092813734,,,0.228866649,,,0.808456305,0.289934041,0.912717765,,,0.546343113,0.950735779,0.204561482,,0.699250729,,0.681834418,,0.953304483,0.103065284,0.859507771
0.422572493,,0.236673105,0.908429189,0.906823623,,,0.233129182,,,0.45919374,0.220009879,0.08108493,,,0.303526281,0.677406182,0.547233896,,0.627042874,,0.456507962,,0.258706393,0.6144958,0.889879768
0.793003654,,0.871649553,0.078429534,0.849983206,,,0.556529478,,,0.994948215,0.483730331,,,,0.822519475,0.270568192,0.562840316,,,,0.682138102,,0.765183322,0.36683061,0.873963871
0.99105925,,0.905024332,,0.332602074,,,0.624386892,,,,0.544709355,0.617483435,,,0.029708052,0.447210033,0.453374592,,0.567896986,,,,0.632885408,0.129969548,0.07098618
0.274148061,0.260870694,,0.892780051,0.319436853,0.203734446,,0.164105921,,,0.833947532,0.233582314,0.322517469,,,0.386225292,,0.13537649,,0.408496175,,0.656137382,,0.357184777,0.578806813,0.171877917
0.988420433,0.216180876,0.71213069,0.237780675,,0.927994541,,0.649131519,,,0.107100165,0.813854002,0.370202154,,,0.325084748,0.279617217,0.23155608,,,,0.211917446,,0.14780671,0.864973674,0.706280898
0.211591563,,0.085156779,0.156875712,0.004451091,0.176179012,,0.356600591,,,0.932139413,,0.532753765,,,0.967273402,0.065896119,0.692286456,,0.358591211,,0.160244224,,0.931828156,0.36916054,0.465425672
0.830621155,0.816101808,0.214890066,0.440282071,0.102849411,0.030142982,,0.410628309,,,,0.576250771,0.350973486,,,0.420696964,0.369747086,0.700068345,,0.166794765,,0.228918163,,0.513758619,,0.816494602
0.145858681,0.54424136,0.214973606,0.723173365,0.969959989,0.879197019,,0.104121823,,,0.91312845,0.640125035,0.249388971,,,0.389854157,0.73933575,0.909903081,,0.189747586,,0.825761206,,0.835174855,0.483847301,0.20388535
0.219214955,0.732251331,0.851145731,0.886932766,0.295159706,0.672005247,,0.468203594,,,0.105545588,0.719822714,,,,0.153442232,0.859584098,0.701250499,,0.01120937,,0.017525171,,0.238933742,0.810279177,0.580763033
0.883619334,0.157809293,0.263370058,0.172078471,0.98501055,0.174517359,,0.827735738,,,,0.006156665,0.650502418,,,0.688439689,0.344416088,0.130636163,,,,0.673017467,,0.464768762,0.636883045,0.488098728
0.580740417,0.3292725,0.829894193,0.594070458,0.594668194,0.961428248,,,,,0.758460025,,0.083715263,,,0.346753175,0.106029603,,,0.536084036,,0.772237051,,,0.2312954,0.956797482
0.538061075,0.137580806,0.79809416,0.128798321,0.007958048,,0.881412392,0.405946758,,,0.075909466,0.968459702,0.190366497,,,0.8082907,,0.989523303,,0.217886945,,0.481072392,,0.844188735,0.450166134,0.467030077
0.99100556,0.72766278,0.060319537,0.146435058,,0.354073145,0.821536411,0.292606973,,,,0.518597297,0.397094898,,,0.40031477,0.764980378,0.963763155,,0.271557439,,0.5874074,,0.388254016,0.773876388,0.054989152
0.026599847,,,0.601675823,0.009945422,0.606500631,0.180615419,0.590632067,,,0.009568036,,0.355158271,,,0.22488586,0.342471463,0.730776561,,0.872215091,,0.154685421,,0.670118836,0.406623843,0.188013482
0.891830127,0.339594982,0.326653313,0.596056564,0.999556984,0.769418697,0.146441889,,,,0.977947412,0.363170054,0.392351818,,,0.42629125,0.045497143,0.977471683,,0.232815021,,0.867723558,,0.030344068,0.119037019,0.69149107
0.247672531,0.618763039,0.533908685,0.401077644,,,0.217545079,,0.085137779,,0.486397859,0.638249387,0.35927007,,,0.965095844,0.028455184,0.765700225,,0.409950822,,0.933289009,,0.015290011,0.776084748,0.912474813
0.546414041,0.939868273,,0.278989462,0.017384314,0.03482415,0.403225907,,0.689058062,,0.874958117,0.231463594,0.180647674,,,0.18457165,0.784807527,0.324866751,,0.567254854,,0.482707284,0.861142014,0.345260098,0.588231967,0.021307026
0.981704407,0.093355377,0.26780649,0.921260308,0.428932794,0.704186549,0.518126048,0.773388772,0.934978636,0.107108603,0.505178322,0.296926342,0.636018925,,,0.885167028,0.754747769,0.092673781,,0.228761487,0.874954266,0.429508737,0.041266294,0.245370643,0.977304409,0.457646821
0.317624098,0.268888079,0.960003154,0.797044159,0.902646044,0.988459973,0.662539579,0.445911544,0.387122406,0.085743995,0.698622988,0.24928765,0.728731019,,,0.599568217,0.079598142,0.69339536,,0.646282098,0.543899086,0.640079964,0.203174876,0.088952534,0.590543976,0.874324239
